HDOP,Lat,Lon,NumSats,GPSDate,GPSTime,FixTime,BestTime,EndTime
131,46.717281,-116.99207,5,120318,6183800,11058,14205,14178
234,46.717289,-116.99195,4,120318,6284800,3311,3336,3310
172,46.717407,-116.99198,5,120318,6390900,3578,3720,3693
165,46.717316,-116.99207,5,120318,6493000,3818,3959,3932
116,46.7173,-116.9917,6,120318,6595700,7061,10195,10169
94,46.717373,-116.99181,8,120318,7103100,23324,23464,23438
154,46.717075,-116.99164,5,120318,7203100,2572,2713,2686
238,46.717358,-116.99191,4,120318,7305400,5373,5398,5372
162,46.717525,-116.99197,4,120318,7411800,8024,8049,8023
166,46.717373,-116.99194,4,120318,7513300,2522,2547,2521
218,46.717239,-116.9921,6,120318,8015600,3486,4631,4603
179,46.71735,-116.99188,5,120318,8121600,3731,3756,3730
109,46.717304,-116.992,7,120318,8225700,2928,24069,24042
154,46.717251,-116.99209,5,120318,8330200,7147,8293,8265
139,46.71722,-116.99188,6,120318,8432400,9386,9527,9500
144,46.717377,-116.9919,5,120318,8534000,3699,4727,4699
141,46.717388,-116.99192,5,120318,9040100,4834,4979,4952
178,46.717316,-116.99199,6,120318,9143900,22044,22186,22160
206,46.717346,-116.9921,5,120318,9244600,8246,8271,8245
136,46.717361,-116.9919,7,120318,9351800,19440,19465,19439
154,46.717381,-116.99184,6,120318,9452900,9640,9665,9639
178,46.717442,-116.99194,5,120318,9555100,10840,10867,10839
153,46.717365,-116.99197,7,120318,10065500,54056,54082,54055
213,46.717236,-116.99195,5,120318,10163600,14225,14251,14224
227,46.717361,-116.99182,6,120318,10265200,9422,9449,9421
222,46.717472,-116.99192,6,120318,10373100,27629,27655,27628
144,46.717052,-116.99203,9,120318,10473600,11802,11827,11801
142,46.717201,-116.99199,7,120318,10575100,5987,6012,5985
131,46.717014,-116.99202,8,120318,11081200,6167,6193,6166
147,46.717407,-116.99187,7,120318,11183100,4375,4521,4496
236,46.717358,-116.9919,6,120318,11285300,5551,5577,5550
